FID IID FATHER_ID MOTHER_ID proband parental
21_216 21_216_0 NA NA -0.027927035 0.4420165
21_216 21_216_1 NA NA 0.64214975 0.4420165
21_217 21_217_0 NA NA -0.3299695 -1.3286154
21_217 21_217_1 NA NA -0.22501199 -1.3286154
21_218 21_218_0 NA NA -0.49711582 -0.25111058
21_218 21_218_1 NA NA -0.40262365 -0.25111058
21_219 21_219_0 NA NA -0.59196943 -1.9585967
21_219 21_219_1 NA NA -2.1792104 -1.9585967
21_220 21_220_0 NA NA 0.13673453 0.7229638
21_220 21_220_1 NA NA 1.0543449 0.7229638
21_221 21_221_0 NA NA -1.7567546 -2.63514
21_221 21_221_1 NA NA -1.1457701 -2.63514
21_222 21_222_0 NA NA -2.5691247 -3.0839977
21_222 21_222_1 NA NA -1.7619687 -3.0839977
21_223 21_223_0 NA NA -2.0500252 -2.2121263
21_223 21_223_1 NA NA -0.21451375 -2.2121263
21_224 21_224_0 NA NA 0.0074883457 0.9437612
21_224 21_224_1 NA NA 0.94804615 0.9437612
21_225 21_225_0 NA NA -1.191785 -1.4818195
21_225 21_225_1 NA NA -1.0642451 -1.4818195
21_226 21_226_0 NA NA -2.03369 -3.7430077
21_226 21_226_1 NA NA -2.4454775 -3.7430077
21_227 21_227_0 NA NA -0.7753785 -0.82334095
21_227 21_227_1 NA NA -0.46955523 -0.82334095
21_228 21_228_0 NA NA -0.35932484 -0.64341575
21_228 21_228_1 NA NA -0.9640031 -0.64341575
21_229 21_229_0 NA NA 1.163518 1.576501
21_229 21_229_1 NA NA 0.8448231 1.576501
21_230 21_230_0 NA NA -1.3566593 -2.5132706
21_230 21_230_1 NA NA -2.0865653 -2.5132706
21_231 21_231_0 NA NA -1.5292803 -1.3650447
21_231 21_231_1 NA NA -0.9919911 -1.3650447
21_232 21_232_0 NA NA -1.3971945 -1.4987972
21_232 21_232_1 NA NA -0.3063258 -1.4987972
21_233 21_233_0 NA NA -0.29965273 -0.7462305
21_233 21_233_1 NA NA -1.1906685 -0.7462305
21_234 21_234_0 NA NA -2.73603 -4.546575
21_234 21_234_1 NA NA -2.7585442 -4.546575
21_235 21_235_0 NA NA -1.5258377 -3.3452456
21_235 21_235_1 NA NA -3.320233 -3.3452456
21_236 21_236_0 NA NA 0.41495046 -1.3366144
21_236 21_236_1 NA NA -1.6290553 -1.3366144
21_237 21_237_0 NA NA 0.5906511 -0.7039767
21_237 21_237_1 NA NA -0.75909454 -0.7039767
21_238 21_238_0 NA NA 0.20050032 -0.8765171
21_238 21_238_1 NA NA -0.46716234 -0.8765171
21_239 21_239_0 NA NA -0.8554042 -2.001901
21_239 21_239_1 NA NA -1.9149723 -2.001901
21_240 21_240_0 NA NA 0.3959303 0.037427705
21_240 21_240_1 NA NA 0.2198549 0.037427705
21_241 21_241_0 NA NA 1.6334027 1.3865781
21_241 21_241_1 NA NA -0.7903889 1.3865781
21_242 21_242_0 NA NA -1.813539 -2.0251296
21_242 21_242_1 NA NA -0.7890978 -2.0251296
21_243 21_243_0 NA NA -0.9540042 -2.3180914
21_243 21_243_1 NA NA -1.5953844 -2.3180914
21_244 21_244_0 NA NA -1.944699 -1.7929757
21_244 21_244_1 NA NA -1.024444 -1.7929757
21_245 21_245_0 NA NA -0.4619874 -1.9407874
21_245 21_245_1 NA NA -1.338294 -1.9407874
21_246 21_246_0 NA NA -0.47952214 -1.2554189
21_246 21_246_1 NA NA -0.85944456 -1.2554189
21_247 21_247_0 NA NA -0.9381511 -0.7037526
21_247 21_247_1 NA NA -0.7809169 -0.7037526
21_248 21_248_0 NA NA -2.2759607 -3.1638634
21_248 21_248_1 NA NA -2.4092622 -3.1638634
21_249 21_249_0 NA NA -3.2993305 -4.1001706
21_249 21_249_1 NA NA -1.2907258 -4.1001706
